,17,18,19,19,19,18,19,18,19,8288,8116,2,8288,17285
,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,6,60,10,215,213,245,485,245,844,1650,245,872,13246,17893
,4,4,8,68,8,156,108,156,197,509,900,750,509,750
,970,3660,4745,3660,4745,9048,2818,9048,19628,2818,41238,29112,47409,96421
,589,2492,3187,2492,7338,80,1489,80,7338,13368,17097,26477,13368,26477
,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,200,3351,5792,9420,5792,13795,2236,13795,22696,2236,13795,38734,2236,38734
,3,3,74,3,99,99,115,163,99,115,163,99,630,676
,2,3,2,3,2,40,3,40,116,260,40,4,260,682
,1,1,2,1,2,2,2,2,2,2,2,2,2,2
,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,6,6,18,21,333,128,3,128,333,480,128,15,480,480
,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,1,2,2,5,7,2,12,2,7,14,14,14,14,14
,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,18,18,60,61,60,23,63,23,60,63,67,2,178,288
,2,2,2,4,2,4,4,4,4,4,4,4,4,4
,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,1,3,3,3,3,3,3,3,8,8,8,8,8,8
,1,1,1,1,4,1,2,6,10,11,14,2,11,2
,293,1091,1300,1762,1300,1594,2585,7498,1300,2585,7498,1862,23455,31600
,2,2,3,4,3,4,4,4,4,4,4,4,4,4
,2017,2017,3572,7840,11688,13964,15024,28962,26761,15024,28962,31149,15024,31149
,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,32,66,114,242,114,152,337,1095,929,5702,15937,16188,28861,16188
,4,4,161,188,161,352,285,4143,161,6308,16533,10899,25974,10899
,4,47,47,144,47,99,264,319,47,953,319,999,953,999
,54,152,42,152,42,631,448,1481,42,448,1481,2252,1968,2975
,45,58,58,58,58,58,58,58,58,58,58,58,58,58
,51,485,891,3274,4648,5144,8697,5144,12294,20171,21141,29653,20171,29653
,1838,4921,1696,11205,10250,7891,13852,7891,27534,13852,42152,22773,13852,88010
,4,8,10,8,18,6,18,20,26,42,20,40,42,74
,65,1441,880,4285,880,7756,2006,14589,880,2006,14589,13674,2006,41615
,14,14,44,60,44,4,76,4,108,76,156,2415,7691,26923
,2243,2243,2441,8007,10478,12084,11151,28923,10478,11151,28923,13593,11151,78484
,18,18,18,18,18,4,1,5698,18,7522,17912,10007,7522,41356
,2,4,4,4,4,4,4,4,4,4,4,2,4,2
,2,2,2,2,2,2,8,8,8,8,8,8,8,8
,4,4,6,4,14,4,8,104,337,367,509,425,367,1395
,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,3,3,3,79,3,8,297,8,3,297,297,297,297,297
,14,42,13,42,13,316,1994,4438,13,1994,17399,14342,1994,43882
,2,61,2,61,270,2,270,2,270,270,2,566,10964,566
,22,22,68,68,68,68,68,68,68,68,68,52,7456,52
,15,22,15,22,29,29,29,29,57,29,29,50,29,50
,96,96,185,96,1752,1811,1492,6932,1752,8604,6932,11614,24176,11614
,1,1,2,2,3,2,2,13,3,2,13,4411,2,33494
,599,1902,2745,1902,5994,1066,3521,7973,5994,13402,23341,25211,13402,57141
