1399,1399,4788,1399,4788,3431,27,20447,21680,27,20447,52040,45883,52040
7,7,9,9,45,45,9,310,327,216,310,1040,216,1040
1,5,1,5,1,7,9,14,1,23,27,27,23,27
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1016,2506,2712,2506,6945,5451,11105,13753,6945,22476,13753,20494,45065,51730
1,1,1,3,1,6,14,20,8,14,20,3,663,3
4,4,5,4,100,4,77,348,100,77,12923,1783,13548,30843
1026,1026,6497,6971,14836,11877,6303,28292,14836,6303,28292,41991,52949,109030
112,112,34,112,34,240,2854,6468,3797,14131,22321,8957,36276,8957
4,4,4,4,4,4,4,4,4,4,4,4,4,4
362,1468,1468,1468,1468,2,6938,5322,1468,16476,5322,8883,16476,35935
4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,2,1,1,2,3,4,2,3,2,4,2
1155,1155,1196,3952,1196,2589,97,10168,1196,10715,10168,3868,28223,30570
6,6,16,6,16,16,16,16,16,16,16,16,16,16
2717,2717,881,2717,9223,9118,20835,9118,9223,20835,9118,43108,20835,108267
27,27,122,122,122,122,254,122,122,254,254,254,254,254
1,1,2,2,2,1,4,5,2,4,5,7,4,7
1,1,2,2,2,2,2,2,2,2,2,2,2,2
6,2969,1191,8930,1191,15175,21340,15175,17007,21340,47051,13298,21340,13298
16,16,16,16,16,16,16,16,16,16,16,16,16,16
453,453,158,453,158,2896,19011,18816,158,40942,51029,5568,88521,70956
2,2,103,103,103,103,103,103,103,103,103,103,103,103
4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,2,2,2,5,712,4,8789,5,4,8789,17188,4,46434
1260,3025,1505,6790,1505,8420,2738,8420,11098,16412,8420,5310,16412,43543
1,2,1,2,1,3,4,21,1,4,21,53,53,53
1,38,42,38,42,1,42,1,42,42,42,42,42,42
1,1,2,2,2,2,2,2,2,2,2,2,2,2
710,3530,555,9084,8108,3530,7881,3530,24211,30742,36258,14132,78311,14132
6,6,8,6,8,22,6,22,8,22,22,22,22,22
2,4,5,9,12,5,16,5,18,18,18,18,18,18
2,2,2,2,2,2,2,2,2,2,2,2,2,4
660,660,6778,6106,15166,8938,55,8938,15166,55,8938,36714,55,101851
2,2,2,2,4,2,2,5,5,2,5,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,21,9,47,9,60,19,60,82,121,60,37,121,258
2,101,156,101,454,336,32,336,454,1022,6342,219,18387,19686
20,20,41,20,53,47,65,47,116,65,132,65,216,296
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,2,12,13,2,26,27,17,9715,15447
2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,6,14,6,14,14,12,100,98,12,100,104,12,304
4,4,10,12,40,4,11,4,40,11,4,64,11,64
741,3793,5283,10080,13807,1799,19767,18643,30378,43016,18643,40088,89610,40088
2,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,4,4,2,4,4,4,4,4,4,4,4
2,2,1,9,9,27,5,49,43,45,55,55,45,55
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,12,81,12,6,12,6,235,354,6,474,354,474
828,828,1996,3623,5702,392,4132,392,5702,4132,14520,23320,23017,23320
88,88,589,2113,589,4193,4310,8530,7520,11210,22165,11798,11210,40725
1,1,1,2,1,2,2,2,4,2,246,7,2,7
31,86,86,90,90,90,90,90,90,90,90,90,90,90
1,1,1,1,1,1,1,1,1,1,1,1,1,1
549,1998,791,4993,791,6345,1732,6345,8873,13278,6345,3805,13278,36529
61,837,1080,2928,1080,330,3052,6282,7008,3052,6282,5477,19481,29219
1,1,16,1,16,3,16,16,16,16,16,15,16,15
804,804,6814,804,6814,7812,18666,24361,6814,18666,24361,41931,18666,108788
29,1067,706,1067,706,2430,3559,8229,6480,12251,21365,23590,31306,51669
3,3,72,78,108,14,108,108,108,131,131,131,131,131
4,4,10,10,11,11,6,11,11,6,11,5,20,5
39,39,2,39,2,104,251,104,2,251,104,746,251,746
1,1,1,2,3,3,1,3,7,6,3,6,6,6
1,2,1,4,1,5,6,12,7,6,13214,4502,11998,4502
357,357,3,2966,3193,3061,3346,10677,3193,3346,26163,18172,25072,18172
1,1,1,1,1,1,1,1,1,1,365,1,1,1
4,4,19,24,24,24,9,24,24,9,24,24,24,24
1,1,1,1,1,2,1,2,1,1,2,2,2,2
29,33,33,33,33,33,1,33,33,1,33,33,1,33
3,3,3,3,151,186,1,186,314,244,539,539,539,539
23,61,61,61,61,61,61,61,61,61,61,61,61,61
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
442,442,1015,442,9214,8,829,8,9214,23301,8,54606,69618,122762
1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,41,41,65,65,65,65,65,65,65,65,65,65,65
63,844,134,3522,134,33,8380,6484,134,8380,6484,10314,27410,42205
8,2977,7972,2977,16460,5440,7099,22353,16460,30909,56744,63071,78021,63071
2693,2693,5630,8854,14072,14957,8854,32059,31202,8854,63761,32829,8854,97709
281,1527,954,1527,954,6733,5795,6733,8647,5795,6733,20056,5795,50519
8,850,2680,850,2680,1021,5445,1021,10268,15876,15675,6376,15876,6376
7,21,9,47,9,60,19,60,82,121,60,37,121,258
4,75,4,75,2421,4948,4,12346,10050,4,12346,14835,4,14835
1326,4358,7,4358,7,3196,10477,20208,16874,10477,54202,57252,10477,123245
1,1,31,96,111,111,111,251,243,111,251,276,111,276
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,118,54,118,257,257,257,257,257,257,257,257,257,257
1,1,4,1,4,2,6,9,10,19,165,7,19,853
2,2,2,2,2,2,2,2,2,2,2,2,2,2
655,1810,2,1810,2,3214,4062,3214,2,12620,3214,6570,33388,35157
1260,3025,1505,6790,1505,8420,2738,8420,11098,16412,8420,5310,16412,43543
2,2,2,2,2,2,2,2,2,2,2,2,2,2
900,2053,1917,2053,5282,1413,3371,8303,5282,3371,8303,24151,3371,24151
6,6,8,6,8,14,18,14,18,18,18,18,18,18
17,33,33,244,907,1024,49,7604,7564,49,21643,7643,49,7643
1,1,3,1,3,4,3,4,5,3,4,5,3,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,14,14,14,14,26,26,274,14,432,1076,74,1686,74
1,1,1,1,1,1,1,1,1,1,1,1,1,1
187,187,333,187,333,391,1088,5762,4714,10382,19466,6836,10382,6836
7,21,9,47,9,60,19,60,82,121,60,37,121,258
2,41,7,41,7,35,74,74,7,207,288,41,324,41
213,1494,2702,1494,2702,2982,4,8859,8670,4,8859,9054,16403,32104
2,4,4,8,12,8,2,8,12,2,5202,4,2,4
1,2,2,5,2,4,4,16,2,4,16,208,327,208
2349,2349,1802,2349,1802,14809,11749,31865,18644,11749,65079,45134,11749,110473
1,1,2,2,3,1,3,1,3,3,3,3,3,3
