1,1,1,1,1,1,1,1,1,1,1,1,2,1
1,1,3,1,5,5,3,5,5,3,5,5,5,5
2,7,2,7,2,2,14,2,16,14,2,10,22,10
1242,2989,1485,6756,1485,8387,2713,8387,11071,16410,8387,5286,16410,43515
19,19,2,189,2,299,36,3585,2,36,15627,12231,10829,38419
1,2,3,2,3,2,3,2,3,3,491,1,3,13680
2,2,4,2,4,4,4,4,4,4,4,4,4,4
4,4,4,4,16,2,14,38,60,14,38,70,14,70
2,2,2,1675,3087,698,4973,698,9930,14617,14524,19393,14617,19393
1242,2989,1485,6756,1485,8387,2713,8387,11071,16410,8387,5286,16410,43515
1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,32,75,103,75,88,212,88,262,544,496,6248,21461,6248
567,567,2746,567,2746,1688,1377,7506,2746,1377,7506,717,1377,717
2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,55,1,1,14193,16368,1,14193,16368,34931,14193,103371
928,928,1819,928,4993,3339,3251,9780,4993,3251,21145,1254,3251,26265
12,18,11,18,11,18,18,18,18,18,18,18,18,18
3,5,3,12,3,1583,3,8443,3199,5285,8443,13600,24704,13600
2,2,6,2,13,10,4,24,13,4,54,34,4,94
2,2,2,2,2,2,2,2,2,2,2,2,2,2
10,33,14,156,14,208,30,208,347,644,208,94,644,2341
6,6,4,6,4,17,24,24,24,24,24,24,24,24
37,71,138,242,281,37,281,37,281,281,37,744,15376,744
1,2,2,6,2,2,13,2,2,51,31,2,51,2
4,4,15,62,15,62,4,62,15,62,62,62,62,62
2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,3,4,3,6,2,8,3,2,8,8,8,8
840,2163,1910,4634,1910,206,7877,7427,9171,17885,21857,5454,37741,33843
1,7,9,7,17,4,4,4,23,4,4,9,23,9
7,20,9,47,9,60,18,60,82,121,60,37,121,258
1242,2989,1485,6756,1485,8387,2713,8387,11071,16410,8387,5286,16410,43515
2,30,29,30,30,30,30,30,30,31,31,31,31,31
1,2,1,3,1,2,3,2,5,32,2,86,86,86
25,29,26,29,26,30,25,30,55,78,125,1,261,1
1,1,1,1,5,4,3,11,5,3,11,3,3,32
3,5,6,9,12,9,1,9,12,18,18,18,18,18
28,45,73,45,73,159,201,159,73,201,213,213,213,213
2,89,37,89,89,89,89,89,89,89,89,89,89,89
4,6,6,6,10,6,25,35,10,25,59,59,25,59
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,42,2,42,2,293,171,42,293,863,911,293,911
1,6,7,6,7,6,3229,6,6041,3229,6,19492,3229,19492
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,63,29,212,29,286,341,442,29,341,604,351,604,604
4,4,121,4,225,230,41,230,225,41,230,514,514,514
1242,2989,1485,6756,1485,8387,2713,8387,11071,16410,8387,5286,16410,43515
1,1,2,962,2,1,4,5729,2,10587,21962,1,33020,29209
4,2204,1899,7830,9549,6492,9129,6492,24986,9129,6492,49601,52371,111962
12,54,63,54,63,28,104,28,104,104,104,104,104,104
1,1,2,3,7,1,10,1,7,10,39,267,375,267
4,4,12,4,12,12,12,12,12,12,12,12,12,12
1,1,2,3,5,5,3,5,5,5,5,5,5,5
2,6,16,6,24,4,16,32,24,48,48,32,48,48
29,145,29,174,29,29,374,343,29,9138,11269,29,9138,29
416,1573,2918,3913,5766,4648,6706,10625,11746,14815,21938,20789,30354,42967
1529,4724,4455,10974,4455,13688,19879,13688,21386,41938,45487,38309,88739,38309
1664,4589,6291,10516,6291,14774,7043,31170,22474,7043,63838,6968,52758,72456
2,2,2,2,2,2,2,2,2,2,2,2,2,2
305,305,1915,305,5330,2,9503,7024,12901,9503,7024,16223,9503,16223
1791,4645,1015,10342,8842,5149,5174,20610,8842,5174,51567,32264,48469,94053
1,3,5,3,5,6,2,10,8,10,10,10,10,10
1,9,1,9,1,787,1,8945,4342,7439,24645,13088,7439,43154
1,1,1,1,1,3,3,3,3,3,3,3,3,23487
2,2,99,223,99,253,283,4765,99,9751,20064,387,9751,30793
462,1508,1317,3804,1317,1284,4620,5543,1317,12232,19509,11757,12232,40689
2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,4,3,9,9,8,2,287,426,2,13647,287,2,25552
5,70,2,70,187,169,139,169,187,139,169,597,139,597
1754,1754,3612,1754,3612,6809,6590,22124,18802,28062,22124,25264,28062,25264
4,4,4,4,4,4,4,4,4,4,4,4,4,4
50,69,68,69,69,69,69,69,69,69,69,69,69,69
2074,4932,6695,10322,14242,5566,10,5566,30966,10,38103,45167,45298,111323
1242,2989,1485,6756,1485,8387,2713,8387,11071,16410,8387,5286,16410,43515
72,72,119,163,119,4,4,4,119,523,602,712,712,712
38,38,750,38,750,29,21512,16375,17337,45116,16375,48852,91715,115451
7,20,9,47,9,60,18,60,98,231,60,37,231,514
2,2,2,2,5,2,2,6,5,2,6,1,6,1
1,2,2,2,2,8,3,8,2,3,8,28,24,58
2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,37,2,37,2,71,97,240,240,97,435,292,97,435
4,4,12,4,12,372,1382,372,12,12042,15454,16053,32561,42652
1351,4187,7027,4187,15160,8979,68,24761,15160,68,24761,34306,68,34306
24,24,24,24,24,22,24,24,24,24,24,24,24,24
29,29,29,29,29,67,67,67,29,67,67,342,509,342
6,6,8,12,8,2,20,22,26,20,203,18,251,332
1,1,2,2,2,2,2,2,142,248,440,744,1170,744
1,1,1,1,1,1,1,1,1,1,1,1,1,1
