1,1,145,145,145,145,145,145,145,145,145,145,145,145
1236,1236,3402,1236,6879,2816,8628,9668,6879,17770,22516,24857,35342,51028
207,207,2015,2531,5295,5908,3726,5908,5295,13147,5908,6553,30729,32321
13,13,13,13,13,13,13,13,13,13,13,13,13,13
10,10,26,26,26,26,26,56,26,86,154,206,86,206
1122,1122,2775,3254,6151,645,7360,645,12588,7360,13897,14862,7360,40755
1,1,1,2,1,2,1,3,2,3,7,1,3,8
1,1,1,1,2,1,2,2,2,2,2,3,2,9
1,1,1,1,1,1,2,2,2,2,2,3,6,9
1467,2562,274,5226,274,1051,4293,1051,274,13696,14147,14701,13696,40707
76,76,62,222,62,115,70,222,222,222,222,222,222,222
620,620,1455,620,3535,2009,5120,6415,3535,11986,16412,990,26287,990
2,2,2,2,2,2,2,4,2,6,12,2,6,14
2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,6,6,2,4,14,16
2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2
57,126,126,126,126,126,126,126,126,126,126,126,126,126
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,2,2,2,3,2,4,6,1,4,7
1,1,1,1,2,1,2,1,4,2,4,4,6,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,18,172,205,172,242,242,242,242,242,242,1,242,242
42,844,1043,3812,4355,42,3838,6009,4355,11569,17857,18917,11569,41266
2,2,2,2,4,4,4,4,4,4,10,10,4,10
1003,1003,1435,1728,1435,1938,4190,1938,1435,9958,11530,12003,9958,12003
2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,3,3,3,3,7,1,7,1
2,2,2,2,2,2,2,2,6,6,2,4,14,4
2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,4,4,4,2,4,10,10,14,22
2,2,2,2,4,2,4,2,6,4,8,10,4,10
2,2,2,2,4,2,4,2,6,10,2,2,18,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2
19,19,19,19,19,19,19,19,19,3286,19,597,3286,17170
1,1,1,2,1,1,2,3,1,2,3,4,7,10
2,2,2,2,4,2,2,2,8,6,2,4,6,4
938,938,1399,938,3736,1084,5757,4432,3736,5757,4432,6513,17101,6513
1,1,1,1,1,1,2,3,3,2,6,6,6,6
444,444,74,444,1043,2217,796,4570,4168,796,10518,207,796,11040
610,610,1900,610,5263,2712,6966,2712,11347,6966,15582,19874,6966,19874
359,1668,2145,3705,2145,2431,1088,9159,8850,1088,9159,9473,19327,35761
53,53,2075,2476,5394,446,372,6830,5394,372,20268,21941,18692,47922
63,860,874,1278,2613,2693,5373,6635,6098,5373,6635,7016,19445,7016
120,120,2425,120,2425,4368,4214,12755,10557,4214,12755,14611,4214,14611
2,2,3028,2,6377,3628,4418,3628,13264,13862,17023,20971,13862,20971
2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2
31,31,122,218,122,1292,44,1292,122,6181,11885,13433,6181,35097
2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,138,192,1973,192,2583,1772,2583,192,9142,2583,5765,9142,25633
1,1,1,1,2,1,1,1,4,3,1,2,3,2
70,70,1145,3146,1145,5752,1907,5752,1145,1907,5752,10442,1907,10442
870,1307,1616,1307,4163,4286,4663,4286,4163,11722,13155,13257,24250,13257
656,656,438,656,438,3256,5773,3256,438,5773,3256,6275,19583,6275
461,461,503,461,503,622,723,3785,2668,723,3785,4678,723,25115
2,2,2,2,2,2,4,2,2,8,8,10,18,10
