104,259,328,471,328,541,869,1137,936,1484,1747,112,1484,1756
176,176,268,424,268,267,477,267,268,477,1416,265,477,265
127,127,93,376,426,293,181,771,771,181,889,762,181,762
2,2,2,2,2,2,2,2,2,2,2,2,2,2
46,187,192,187,192,322,668,715,667,1042,715,715,1042,715
1,1,1,1,1,1,1,1,1,57,1,1,1622,1
7,131,38,388,378,538,751,538,378,751,1124,601,1825,2149
153,279,139,295,295,219,307,307,295,307,307,518,307,518
244,244,1181,244,1181,1931,2759,4295,1181,6182,9302,7630,6182,17757
894,894,1047,894,1047,10903,6932,10903,12178,21169,10903,9582,36236,9582
2,2,2,2,2,2,2,2,2,2,2,2,2,2
17,96,159,192,159,280,177,795,546,177,1078,1015,1078,1015
136,747,181,2055,181,2405,978,6041,181,978,13180,4674,11115,4674
76,159,131,308,347,185,426,426,347,426,426,426,426,426
164,164,435,496,739,305,149,754,739,754,754,754,754,754
263,627,659,1321,1609,1235,564,1235,1609,564,1235,4809,6082,11971
47,47,63,621,874,881,206,881,874,206,4208,4216,206,4216
37,37,37,37,37,37,37,37,37,37,37,37,836,1682
275,275,2400,3883,2400,530,8381,530,14179,21991,530,9269,37706,37039
188,188,480,188,480,670,363,670,916,1052,670,1478,2350,1478
8,8,185,220,396,209,619,209,636,655,209,458,699,458
2,2,2,2,2,2,2,2,2,2,2,2,2,2
1132,2670,3635,6974,9551,1700,6311,13117,9551,20923,13117,29015,36382,29015
124,142,195,248,364,142,151,440,364,440,440,440,440,440
8,8,305,8,305,733,758,1250,305,758,1250,1894,1990,3789
204,204,204,204,204,640,715,863,785,863,863,420,1857,1548
2,2,2,2,2,2,2,2,2,2,2,2,2,2
10,10,134,217,371,378,580,748,747,984,748,1353,984,1353
222,691,450,691,450,457,3267,457,450,6812,457,457,13643,10364
2,2,2,2,2,2,2,2,2,2,2,2,2,2
86,86,399,86,399,509,169,509,660,792,1104,472,792,472
181,406,266,406,648,767,963,1327,648,963,1977,1968,963,1968
47,47,161,47,161,495,614,1070,161,1429,1070,1936,3063,3882
142,266,352,266,708,686,338,1222,1256,1199,2035,1193,2035,1193
213,539,449,1115,449,924,1804,924,1992,3951,4014,2956,5746,2956
104,104,304,104,304,104,901,104,304,901,104,934,1151,934
2,2,2,2,2,2,2,2,2,2,2,2,2,2
178,178,943,178,1923,1836,2038,1836,1923,2038,2065,2065,2038,2065
1009,2513,4505,6780,4505,10052,14488,20460,16483,14488,31451,3480,32433,3480
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2
24,227,346,458,637,610,725,610,1015,1055,610,965,1055,3088
246,672,18,1579,18,568,2571,568,2430,2571,5491,3601,2571,3601
21,21,154,408,154,712,1188,712,1164,2605,712,2217,2605,2217
140,140,520,544,520,725,683,725,770,824,960,577,960,960
222,354,364,354,485,297,473,557,485,1096,1746,1982,1096,4266
62,62,221,62,221,556,391,651,221,651,651,651,651,651
59,147,102,147,306,247,114,635,306,671,635,973,671,973
4,4,494,545,494,494,1668,494,494,2232,494,479,2232,2232
286,286,128,609,615,615,615,683,615,1133,1274,615,1133,1912
1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,395,459,395,459,233,1827,233,2376,1827,233,1902,1827,4326
19,19,181,19,962,1109,1966,1109,2528,1966,4257,2796,6269,7540
50,136,161,136,286,238,308,238,329,308,238,310,857,310
101,101,92,346,392,562,301,959,872,888,970,288,888,288
14,14,91,14,91,843,1704,843,91,3894,3970,4812,8192,10686
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1502,1502,4343,5338,4343,10574,9716,10574,4343,22558,10574,16527,38275,16527
52,376,220,376,220,863,1237,2501,220,1237,5117,1471,1237,5690
2,2,2,2,2,2,2,2,2,2,2,2,2,2
107,338,215,338,215,352,601,1397,215,2172,3667,439,5495,439
2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,6,52,175,52,74,483,74,483,849,74,1316,849,3253
10,10,17,172,237,231,110,231,237,739,231,1068,1999,1068
1254,2756,1869,2756,7520,2088,2978,13802,19378,2978,27415,8120,2978,8120
72,72,523,673,523,1099,290,1099,523,2534,1099,1628,6922,1628
65,294,309,294,309,320,571,320,864,1190,320,1968,2298,1968
25,25,25,25,25,16,347,311,25,347,311,838,347,838
82,82,1081,972,2253,1100,2426,3422,2253,2426,8460,9726,9365,9726
60,359,769,359,1667,1157,2363,1157,3062,3377,1157,3488,3905,3488
37,226,278,477,278,377,654,961,278,654,1073,466,654,466
1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,154,223,154,517,89,660,89,1027,1049,1049,314,1049,314
154,154,316,154,316,595,112,595,842,112,595,1528,1612,2210
289,289,379,1033,379,840,1993,2798,2394,1993,2798,3222,1993,8416
23,23,144,23,144,533,263,533,144,1111,533,869,1111,869
86,86,296,362,296,165,339,165,296,1071,165,1203,1071,3339
163,163,389,501,389,22,29,793,955,1032,1512,1391,1032,1391
32,32,204,184,204,349,428,349,576,895,1048,91,895,91
214,214,583,1003,1642,1024,1929,3177,3800,4942,7455,6832,10836,11839
87,178,215,364,468,468,46,976,468,751,1821,486,751,1821
34,34,73,34,279,301,258,301,353,258,353,353,353,722
58,58,461,461,461,675,375,675,461,883,883,883,883,883
466,466,1459,1614,1459,1250,3319,4320,1459,7624,10449,7126,7624,19650
13,308,338,308,613,140,738,738,613,999,738,759,1165,759
184,184,997,184,2193,116,2232,2493,2193,2232,7421,7762,9170,7762
236,236,363,236,363,426,481,982,911,1302,982,1043,1302,1043
120,120,401,120,401,623,347,1200,990,1214,1200,1823,1823,2018
24,112,41,240,41,244,80,877,607,869,1728,56,869,1728
106,171,171,171,171,171,171,171,171,171,702,702,171,702
2,2,2,2,2,2,2,2,2,2,2,2,2,2
72,72,325,72,325,587,1237,587,325,4255,5039,5285,4255,14701
110,110,135,135,135,135,145,554,443,145,1539,1627,145,2679
52,52,197,275,197,252,664,727,197,664,727,293,664,293
170,170,134,170,1024,1271,865,3188,2915,3522,7204,3422,3522,11525
