307,1146,1225,2694,1225,992,3217,3217,3217,3217,3217,3217,3217,3217
21,21,21,21,21,21,21,21,21,21,21,21,21,15010
4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,114,1,114,1,274,274,1,274,274,274,274
12,12,12,12,12,12,12,12,12,12,12,12,12,12
953,953,1749,4760,6598,8112,59,8112,15012,12826,25743,850,38347,850
2,2,2,2,2,2,3,2,2,3,2,3,3,3
1,1,1,1,1,1,1,1,1,1,1,1,1,29617
47,47,100,805,100,805,805,805,100,805,805,805,805,805
1,378,181,378,181,1031,408,1605,181,408,1605,1605,1605,1605
1,1,1,1,1,1,1,1,1,1,1,1,1,1
160,228,228,228,228,228,228,228,228,228,228,228,228,228
2,2,2,2,2,2,2,2,2,2,2,2,2,2
41,41,41,41,41,41,41,41,41,41,41,41,41,41
1238,1238,2763,1238,6271,3090,10677,10100,13389,20400,24095,6896,20400,34010
1438,1438,3961,1438,3961,1925,10797,12301,3961,24205,31957,19869,24205,59459
32,332,17,332,644,644,24,644,644,644,644,644,644,644
152,1819,2414,1819,2414,8865,10958,8865,12610,10958,29529,5353,38463,43370
1,1,1,2,1,2,2,2,2,2,2,2,2,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4
50,50,1377,50,1377,5984,10029,5984,10997,22661,25171,19592,53646,61119
167,167,1020,1075,1020,391,2508,391,1020,2649,391,2649,2649,2649
8,2082,3146,2082,7072,1639,5533,1639,16693,5533,1639,2766,5533,32950
238,560,470,560,470,582,582,582,582,582,582,582,582,582
2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,2,1,2,1,2,1,2,2,1,2,2,2
1,1,1,1,1,1,1,1,2505,1,14293,11414,1,11414
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2
185,185,1293,185,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479
2,2,2,2,2,2,2,2,2,2,2,2,2,2
72,72,96,455,96,183,77,1093,1025,77,1093,1093,1093,1093
683,2059,4232,2059,9157,6991,4689,6991,9157,18199,26596,24112,18199,24112
533,2003,201,5450,201,6443,2766,18051,10362,2766,18051,23201,2766,58617
107,337,337,337,337,337,337,337,337,337,477,337,337,337
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,5,5,5,5,5,5,5,5,5,5,5,5,11
22,22,22,22,22,22,22,22,22,22,22,22,22,22
2,2,2,2,3,3,2,3,3,3,3,3,3,3
132,585,631,585,631,2051,1984,2051,2682,2682,2051,2682,3770,3770
20,20,20,213,213,213,213,213,213,213,213,213,213,213
153,153,602,153,1348,1413,1702,2072,1348,2072,2072,1482,2072,1482
540,2596,3783,5013,7112,1253,2934,1253,7112,2934,14903,22270,2934,22270
3,3,2242,3202,2242,8246,12916,8246,2242,25723,26923,32546,50637,32546
2,2,2,2,2,2,4,2,2,4,2,4,4,4
811,811,2238,811,7161,7677,14181,7677,7161,14181,31749,32081,45242,67632
20,20,20,20,20,20,169,20,6566,11798,16785,25556,34899,25556
1072,2706,761,2706,761,6403,7367,6403,761,7367,6403,28652,7367,67077
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,4,4,2,4,2,4,4,2,4,4,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,81,81,81,81,81,81,81,504,81,81,81,81,30235
28,28,28,28,28,28,28,28,28,28,28,28,28,28
113,129,126,129,126,113,218,218,218,2489,4910,218,2489,21067
1261,2897,3871,2897,9430,5321,9739,5321,9430,22559,5321,20440,22559,62733
3,3,3,3,3,3,3,3,3,3,3,3,3,3
688,2213,484,5570,4777,6068,13240,6068,4777,13240,6068,7497,13240,7497
268,268,50,1081,1164,1649,659,1649,3544,3825,1649,4273,4555,7065
540,1279,81,1279,81,1538,1602,1856,1676,2471,19756,2076,2471,45397
1590,3327,3091,3327,3091,704,11218,704,3091,11218,20138,17342,11218,17342
71,189,81,189,81,71,54,576,81,576,576,576,749,749
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1232,2846,4206,2846,5417,2793,5417,9579,2793,5417,14216,2793,34361
126,126,1032,126,1032,126,1032,126,1032,1032,126,1032,1032,1032
34,34,34,34,34,34,34,34,34,34,34,34,34,34
266,560,289,560,289,22,733,1575,1799,2554,2554,1380,2644,1380
753,753,2533,753,2533,5515,6302,5515,10985,18881,22242,17745,18881,44706
2,2,4,2,4,2,4,2,4,4,2,4,4,4
1,1,1,2,2,1,2,1,2,2,1,2,2,2
2,2,3,2,3,2,3,2,3,3,2,3,3,3
512,512,1731,4543,1731,2773,13007,11883,1731,13007,25839,19461,13007,47890
1660,2658,2894,5386,6974,7366,5019,7366,6974,5019,22548,22835,26016,22835
2,2,4,2,4,2,4,2,4,4,2,4,4,4
31,630,8,1782,1591,2648,1189,2888,1591,2888,4687,3833,2888,3833
183,183,4615,183,8600,4707,7143,4707,8600,7143,4707,17346,7143,17346
290,607,833,607,1768,202,2468,202,3248,2468,3248,3248,3248,3248
8,8,8,8,8,8,8,8,8,8,8,8,8,8
395,395,1218,395,1218,1362,1362,1362,1218,1362,1362,1362,1362,1362
2,2,270,1839,270,3309,10870,3309,270,10870,3309,28833,39707,68732
155,155,363,155,1092,1342,1166,2692,1092,1166,3693,2743,3693,3693
72,72,357,416,891,496,217,496,891,217,496,173,2924,173
214,214,114,841,114,1146,2022,3131,1863,2022,7238,491,7748,8473
20,24,24,24,24,24,24,24,24,24,24,25865,24,25865
6,6,6,6,6,6,6,6,6,6,6,6,6,6
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2,2,2,2,2,3
44,90,122,122,122,122,122,122,122,122,122,122,122,122
261,2222,3418,2222,3418,5228,9068,15547,14028,9068,15547,35547,35441,35547
376,376,1193,1446,1193,1942,552,4936,1193,552,4936,8645,8859,8645
2,2,2,4,4,2,4,2,4,4,2,4,4,4
1,1,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,802,4,9964,4,802,25076,4,14652,25076,55463
131,131,449,131,965,110,191,110,965,191,2135,1269,191,1269
107,107,2806,107,2806,7504,11069,7504,2806,11069,26087,30398,36237,65691
469,2058,525,2058,525,599,8158,8232,8144,8158,28832,28974,35914,28974
39,90,39,90,39,15,29,268,295,29,890,853,845,1464
321,321,662,321,966,273,322,966,966,322,966,966,322,966
1,1,1,1,1,1,1,1,1,1,1,1,2939,1
1134,2769,2282,2769,2282,1049,7345,1049,2282,23639,23639,42362,23639,77998
20,20,20,20,20,20,20,20,20,20,20,20639,20696,20639
2,2,4,492,1056,1056,2,1056,1056,2,1056,2188,2188,2188
29,52,52,52,52,52,36,52,7548,4964,12989,5816,23097,31825
183,183,183,183,183,183,183,183,183,183,183,183,183,183
172,172,368,918,368,1124,368,2988,368,2995,2988,4884,6892,4884
2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2,2,2,2,2
174,596,960,1468,2168,1500,965,3835,2168,4346,9322,799,11811,799
509,1826,2543,4679,6483,7593,9834,7593,6483,20824,7593,8579,39480,8579
29,515,1128,1457,2372,29,3075,2549,2372,3075,7696,2728,3075,13155
