2,2,2,2,2,4,6,4,28,6,4,2,6,2
2,2,6,2,10,10,4,18,10,4,18,28,4,64
255,255,1485,2500,4533,985,6772,7023,11006,15674,20059,3512,15674,29119
84,84,98,84,98,452,1269,452,1175,1269,452,1440,1440,1440
6,6,18,6,18,306,522,306,18,522,306,522,522,522
417,1478,69,1478,69,1438,94,5096,4598,94,5096,5619,94,20598
6,6,6,6,6,6,6,6,6,6,6,6,6,6
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,10,2,46,28,71,28,46,166,168,150,166,150
4,4,8,58,8,40,96,40,8,96,40,70,96,70
259,999,986,999,986,2300,2608,3806,2462,5285,3806,2121,5285,9117
1,1,1,1,3,4,3,8,3,3,15,12,14,12
799,1799,756,4144,3728,1799,482,1799,7731,7192,10141,11511,7192,11511
1,3,3,4,5,1,3,6,5,8,12,13,8,22
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2
21,1778,365,1778,365,1186,2387,10804,9946,2387,10804,11665,2387,11665
1209,1209,2,4008,2,3347,738,10408,2,738,10408,6566,738,36699
22,1603,620,1603,5235,4287,2708,17491,5235,2708,17491,29925,40270,85467
1,1,1,1,1,2,1,2,1,6,2,11,6,11
6,48,48,48,48,48,48,96,48,96,96,78,192,192
2,16,30,42,60,30,60,30,60,60,30,60,60,60
1,1,2,1,4,4,5,4,4,11,4,14,11,14
759,759,366,759,3301,1950,6020,7993,9318,6020,7993,18430,22669,18430
90,185,207,185,207,167,122,673,207,696,696,696,696,696
1,1,1,1,1,1,1,1,1,2,1,1,2,1
2,2,2,6,2,2,2,12,2,18,12,24,18,68
1,28,44,81,44,24,149,24,149,149,24,149,149,149
2,4,6,8,6,8,8,8,6,20,26,28,46,66
74,74,262,513,262,571,2361,571,262,2361,571,1428,8633,10226
2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,12,4,12,4,12,12,12,4,12,12,12,12,12
2,2,4,4,8,2,12,12,8,12,30,14,12,48
1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,110,8,315,8,480,582,2304,581,582,2304,379,582,6219
20,20,150,218,240,100,252,100,240,252,100,562,566,1107
30,48,48,48,48,48,48,48,48,48,96,96,144,192
77,147,49,147,148,148,84,148,148,84,148,148,84,148
22,50,46,102,46,102,188,102,192,188,102,288,564,288
3,16,8,16,45,27,30,100,45,125,232,147,125,419
1,1,1,1,1,1,1,1,1,1,3,3,1,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,13,11,40,47,48,93,48,112,93,186,113,281,113
2,2,2,2,2,2,2,2,2,2,2,2,2,2
24,24,24,24,24,24,24,24,48,48,48,24,48,24
274,274,2298,274,2298,7008,2153,7008,2298,2153,22937,11893,24032,11893
24,24,24,24,24,24,24,24,48,48,48,24,96,24
1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,9,13,9,13,50,18,50,50,18,50,50,18,50
24,24,24,24,24,24,24,24,24,48,24,39,96,96
20,20,46,20,46,60,60,60,46,60,60,60,60,60
1,1,1,2,1,3,5,3,6,5,12,1,18,19
2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,8,16,8,16,44,32,44,16,114,114,70,114,70
1,1,1,1,1,1,1,1,1,2,3,3,4,3
2,5,6,5,6,2,15,2,6,15,30,55,54,110
6,6,26,6,26,92,110,92,172,110,368,10,488,562
2,2,2,2,2,2,2,2,4,4,4,4,4,10
